Country Name,Country Code,Time,Time Code,"Population, male","Population, female","Population, total"
China,CHN,1970,YR1970,416968741,401346258,818315000
China,CHN,1980,YR1980,499521578,481713423,981235000
China,CHN,1990,YR1990,578362685,556822315,1135185000
China,CHN,2000,YR2000,645562937,617082063,1262645000
China,CHN,2010,YR2010,684712330,652992671,1337705000
China,CHN,2020,YR2020,720928153,690171848,1411100000
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 03/01/2023,,,,,,
